Invoice_ID,Customer_Name,Amount,Due_Date,Status,Description
INV-001,Acme Corporation,15000.00,2025-11-30,Open,Q4 Software License
INV-002,TechStart Inc,7500.50,2025-11-25,Open,Consulting Services - Oct
INV-003,GlobalTrade Ltd,22000.00,2025-12-05,Open,Annual Subscription Renewal
INV-004,DataFlow Systems,5000.00,2025-11-20,Overdue,Cloud Storage - Sept
INV-005,Innovate Solutions,12500.75,2025-11-28,Open,Development Services
INV-006,Enterprise Corp,30000.00,2025-12-10,Open,Enterprise Package Q4
INV-007,SmartBiz LLC,8000.00,2025-11-15,Overdue,Marketing Campaign
INV-008,FutureTech Partners,18500.25,2025-12-01,Open,Integration Services
INV-009,Digital Dynamics,9200.00,2025-11-27,Open,API Development
INV-010,CloudNet Services,6500.00,2025-11-22,Open,Monthly Maintenance
